#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:alignment" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:alignment" name="birthDiffRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:alignment" name="distribution" x="@birthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="JC69.s:alignment" spec="beast.evolution.substitutionmodel.JukesCantor"/>
#            </siteModel>
#            <branchRateModel id="StrictClock.c:alignment" spec="beast.evolution.branchratemodel.StrictClockModel">
#                <parameter estimate="false" id="clockRate.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate
0	-8117.1474475026525	-8106.73706046667	-10.410387035981923	-8106.73706046667	3.5338720092411458	-10.410387035981923	1.0
1000	-6203.196461329883	-6197.401882055727	-5.794579274156867	-6197.401882055727	0.8864026102111501	-5.794579274156867	4.738195858540603
2000	-6198.022332102985	-6195.843276724126	-2.179055378859626	-6195.843276724126	0.8305131943266728	-2.179055378859626	2.4289724429457995
3000	-6199.524379140278	-6196.590583782456	-2.933795357822707	-6196.590583782456	0.8438777260101405	-2.933795357822707	3.2069674377674176
4000	-6203.075375875648	-6198.640916663481	-4.434459212167157	-6198.640916663481	0.8046679874067654	-4.434459212167157	4.472195608753926
5000	-6199.789375781857	-6197.981342599334	-1.8080331825234337	-6197.981342599334	0.8190637902787897	-1.8080331825234337	1.6225346031689587
6000	-6197.515780655197	-6195.721934011218	-1.7938466439793577	-6195.721934011218	0.7813821031423911	-1.7938466439793577	1.567439102483101
7000	-6199.068864936057	-6196.553102030873	-2.515762905184471	-6196.553102030873	0.9394140422021968	-2.515762905184471	1.1962124190962469
8000	-6200.983075313805	-6199.006429840395	-1.9766454734095347	-6199.006429840395	0.8649594385739912	-1.9766454734095347	2.002273165867171
9000	-6200.591301714783	-6197.495244195765	-3.0960575190184203	-6197.495244195765	0.9508947271335058	-3.0960575190184203	2.710842153335722
10000	-6198.117810712767	-6195.692724828767	-2.4250858840005964	-6195.692724828767	0.8187124877592741	-2.4250858840005964	1.1054749728383162
11000	-6199.946208635561	-6197.8101625445315	-2.1360460910294483	-6197.8101625445315	0.9271085514960928	-2.1360460910294483	1.8866076576402262
12000	-6197.020736316375	-6194.733720616842	-2.2870156995330686	-6194.733720616842	0.8811779246212144	-2.2870156995330686	2.323863569448562
13000	-6201.525428814759	-6196.560453197471	-4.964975617287929	-6196.560453197471	0.8367722688056803	-4.964975617287929	4.500064963738862
