"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7832.2603984924,6.22473626226274,2.43416717121004e-12,12.4799431156555
"2","GTR","relaxed_log_normal","yule",-7824.72491962638,5.1024741795172,0.00000000456002570665124,5.59433872949218
"3","GTR","strict","birth_death",-7841.28673603581,6.85784933716822,2.92591573199954e-16,5.67992804552208
"4","GTR","strict","yule",-7826.8913902017,5.43702256540248,0.000000000522493719982324,6.64956124597716
"5","HKY","relaxed_log_normal","birth_death",-7832.03916308779,5.28657997149161,3.03690856472106e-12,8.56732480122753
"6","HKY","relaxed_log_normal","yule",-7818.39549818314,4.76141286173558,0.00000255740845935941,10.355181376686
"7","HKY","strict","birth_death",-7814.33057930861,4.40717543101213,0.00014899508215302,8.0498672584263
"8","HKY","strict","yule",-7828.88090118934,5.24901882760214,7.14574363725613e-11,7.00855995289925
"9","JC69","relaxed_log_normal","birth_death",-7822.20226512705,4.5504631618707,0.0000000568253631425661,12.0485056222747
"10","JC69","relaxed_log_normal","yule",-7805.671209343,3.2357247509348,0.858793061220764,5.07900046723638
"11","JC69","strict","birth_death",-7807.47758517425,4.07429100520136,0.141055320174898,6.34663819492924
"12","TN93","relaxed_log_normal","birth_death",-7834.39463490859,6.14672671422337,2.88046964114847e-13,8.08109095310378
"13","TN93","relaxed_log_normal","yule",-7833.73188753964,5.29910913976234,5.58844302444541e-13,3.73037423403182
"14","TN93","strict","birth_death",-7833.00244261587,5.76087373916295,1.15900346085788e-12,8.33012110635906
"15","TN93","strict","yule",-7824.82471929485,5.48252507441494,0.0000000041269085536632,6.90203962737862
