"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-6848.2471700327,6.96504048060743,7.12383036046191e-16,14.8333342763759
"2","GTR","relaxed_log_normal","yule",-6831.84187916545,5.43535024549682,0.00000000949381723183503,12.9378377565574
"3","GTR","strict","birth_death",-6841.25606311989,6.66567366945366,7.74306176741061e-13,10.6645787471022
"4","GTR","strict","yule",-6841.78768413791,6.28213495170236,4.5502226623703e-13,7.87623843504192
"5","HKY","relaxed_log_normal","birth_death",-6815.90934763073,4.03700144643064,0.0788590235093127,7.81650897496181
"6","HKY","relaxed_log_normal","yule",-6823.23786862755,5.63001359320805,0.0000517744108386738,4.67206311984488
"7","HKY","strict","birth_death",-6832.90675194085,5.89981336684631,0.00000000327319965292615,6.04414888135654
"8","HKY","strict","yule",-6835.8076506606,6.16307363083005,0.000000000179940196293182,5.95009227620967
"9","JC69","relaxed_log_normal","birth_death",-6813.66671119762,4.62981694372355,0.742704444496738,5.93302729238741
"10","JC69","relaxed_log_normal","yule",-6819.24126671496,4.77426112139953,0.00281719768332452,8.80221224406877
"11","JC69","strict","birth_death",-6822.42349496798,5.11796518619895,0.000116894250887904,6.42981101977868
"12","TN93","relaxed_log_normal","birth_death",-6815.10965190907,4.64021565210534,0.175450590465063,5.2283945714517
"13","TN93","relaxed_log_normal","yule",-6831.07217088042,5.37821343397918,0.0000000204984455014029,13.561598613888
"14","TN93","strict","birth_death",-6845.5416109396,6.27100891503471,1.0659159322761e-14,7.24060408812625
"15","TN93","strict","yule",-6830.36112732404,5.30035613653389,0.0000000417371913596705,7.5164195283456
