Sample	posterior	ESS(posterior)	likelihood	prior
0	-9732.863996742337	N	-9724.48090031429	-8.38309642804831
1000	-7234.540766924769	2.0	-7226.063406997155	-8.47735992761448
2000	-7236.160625228166	3.0	-7227.727099663268	-8.433525564898817
3000	-7233.703256214915	4.0	-7225.017341107121	-8.68591510779391
4000	-7201.658065895348	5.0	-7193.867713694418	-7.79035220093052
5000	-7199.654231921038	6.0	-7191.3521250711065	-8.302106849932063
6000	-7200.058385046519	7.0	-7191.310922659901	-8.747462386617961
7000	-7201.707507654566	8.0	-7193.050175264033	-8.657332390532758
8000	-7202.510115322416	9.0	-7194.653949172879	-7.856166149536847
9000	-7200.012885874349	3.0	-7192.552289341703	-7.460596532646669
10000	-7202.388484409229	3.3	-7194.520327288096	-7.868157121132882
11000	-7208.229766515588	3.6	-7199.051881179412	-9.177885336176928
12000	-7200.505445443314	4.0	-7193.048279774767	-7.457165668547034
13000	-7201.9215009599075	4.4	-7194.657212254191	-7.2642887057164565
14000	-7200.904039004312	4.7	-7193.888750437424	-7.015288566887937
15000	-7201.4357977831305	5.0	-7194.547265452085	-6.888532331045391
16000	-7201.439208903804	5.3	-7193.3294550231285	-8.109753880674935
17000	-7200.885477741098	5.7	-7193.881819274657	-7.003658466441282
18000	-7202.467331333439	6.0	-7194.954788223576	-7.512543109863357
19000	-7203.101374001666	9.4	-7195.842551672045	-7.258822329621062
20000	-7201.812890858058	10.0	-7194.429009454453	-7.383881403605596
21000	-7208.875539220337	10.6	-7196.82897319334	-12.046566026996253
22000	-7203.115344374311	11.2	-7194.6472125331165	-8.468131841194314
23000	-7204.158501766857	11.8	-7195.968085287432	-8.190416479425057
24000	-7202.970926877225	12.4	-7193.837284506325	-9.133642370899956
25000	-7201.415785169303	13.0	-7193.872238718663	-7.543546450639745
26000	-7211.437846497871	13.8	-7204.418920930948	-7.018925566922672
27000	-7201.141521721854	14.6	-7193.303666680342	-7.837855041511853
28000	-7207.434106085137	15.0	-7199.701916552272	-7.732189532864048
29000	-7205.980162386674	27.0	-7198.748967784261	-7.231194602412685
30000	-7203.310307583685	28.0	-7195.74595619801	-7.564351385674536
31000	-7207.110638927196	29.0	-7199.939669403306	-7.170969523890904
32000	-7201.552059142253	30.0	-7194.269500103226	-7.282559039026676
33000	-7203.5062693716045	31.0	-7196.282417791037	-7.223851580567471
34000	-7203.784784886258	32.0	-7196.579816274016	-7.204968612242885
35000	-7199.918612361073	33.0	-7193.0571697885935	-6.8614425724802395
36000	-7203.125219258183	34.0	-7195.727964497157	-7.397254761026563
37000	-7202.9567004253195	35.0	-7196.001965334811	-6.954735090508562
