Sample	NSlikelihood	posterior	ESS(posterior)	likelihood	prior
0	-9391.41972143587	-9398.677004856652	N	-9391.41972143587	-7.257283420782343
1	-8127.095682169239	-8145.015130712211	2.0	-8127.095682169239	-17.919448542972233
2	-7514.318510023918	-7526.208370506985	3.0	-7514.318510023918	-11.889860483067096
3	-7463.684203017001	-7469.860241211864	4.0	-7463.684203017001	-6.17603819486361
4	-7388.755235313523	-7397.709824153346	4.6	-7388.755235313523	-8.954588839822259
5	-7340.159797550872	-7348.30501410816	4.1	-7340.159797550872	-8.145216557288308
6	-7318.294327222334	-7326.7631238136055	4.2	-7318.294327222334	-8.468796591271676
7	-7287.50400055463	-7293.388449406934	4.5	-7287.50400055463	-5.884448852304898
8	-7272.073317868837	-7280.900920897997	4.8	-7272.073317868837	-8.827603029159564
9	-7257.349778752982	-7267.066358052024	4.7	-7257.349778752982	-9.71657929904203
10	-7252.276901727296	-7263.813977949429	5.0	-7252.276901727296	-11.537076222132407
11	-7238.333897427018	-7246.521520114602	5.1	-7238.333897427018	-8.187622687583808
12	-7229.158596436051	-7235.955012465908	5.1	-7229.158596436051	-6.796416029856605
13	-7216.821328129993	-7224.038324411585	5.2	-7216.821328129993	-7.216996281591284
14	-7216.639201708193	-7224.323230680011	5.3	-7216.639201708193	-7.684028971818005
15	-7214.228026266173	-7221.080203760799	5.4	-7214.228026266173	-6.852177494625467
16	-7213.759608211909	-7221.12448312955	5.6	-7213.759608211909	-7.364874917640518
17	-7213.352123956155	-7220.409810032001	5.7	-7213.352123956155	-7.057686075845597
18	-7212.558552605894	-7219.612937972587	5.8	-7212.558552605894	-7.054385366692899
19	-7212.30332473913	-7219.680207349391	3.3	-7212.30332473913	-7.376882610260413
20	-7207.431845638637	-7214.785395300021	3.4	-7207.431845638637	-7.3535496613839
21	-7205.259588310788	-7213.867306180464	3.5	-7205.259588310788	-8.607717869676172
22	-7203.494772574461	-7211.493299403945	3.6	-7203.494772574461	-7.998526829482983
23	-7203.105131398265	-7209.993737936315	3.7	-7203.105131398265	-6.888606538049656
24	-7202.164243464807	-7209.056893047971	3.8	-7202.164243464807	-6.892649583163683
25	-7197.657748900456	-7204.500419030907	3.8	-7197.657748900456	-6.842670130451843
26	-7196.71319339938	-7204.440622569495	3.9	-7196.71319339938	-7.727429170115129
27	-7196.061157570811	-7204.598684016274	4.0	-7196.061157570811	-8.537526445463154
28	-7194.964614282558	-7202.083447941281	4.1	-7194.964614282558	-7.118833658722965
29	-7194.476702553142	-7202.985542336243	4.1	-7194.476702553142	-8.508839783101353
30	-7194.355250159374	-7201.474970582437	4.1	-7194.355250159374	-7.1197204230628905
31	-7192.551360767739	-7199.206395461646	4.2	-7192.551360767739	-6.655034693906688
32	-7192.205825252169	-7199.433430474483	4.3	-7192.205825252169	-7.227605222314031
33	-7191.952481755821	-7199.239681129353	4.4	-7191.952481755821	-7.287199373531978
34	-7191.729008413725	-7201.247581400215	4.5	-7191.729008413725	-9.518572986489525
35	-7191.518868429857	-7198.468561414507	4.5	-7191.518868429857	-6.949692984650132
36	-7191.217271532423	-7198.309558996807	4.6	-7191.217271532423	-7.092287464383585
37	-7191.112196775867	-7198.025421530771	4.7	-7191.112196775867	-6.9132247549038714
38	-7190.850310002232	-7198.342310889041	4.7	-7190.850310002232	-7.492000886809704
39	-7190.8048509598175	-7198.190144890539	4.4	-7190.8048509598175	-7.385293930721845
40	-7190.539871559441	-7198.077068476135	4.4	-7190.539871559441	-7.537196916693837
41	-7190.428692267594	-7197.345024175151	4.5	-7190.428692267594	-6.916331907556794
42	-7190.299596584174	-7197.440972754115	4.5	-7190.299596584174	-7.141376169941801
43	-7190.2801914244465	-7197.271767675345	4.6	-7190.2801914244465	-6.991576250897874
44	-7190.241045111506	-7197.326553871065	4.6	-7190.241045111506	-7.085508759559328
45	-7190.237615232223	-7198.219042728098	4.7	-7190.237615232223	-7.981427495875657
46	-7190.2201002426455	-7197.41970520044	4.7	-7190.2201002426455	-7.1996049577948735
47	-7190.210335607245	-7197.682126371496	4.8	-7190.210335607245	-7.471790764251863
48	-7190.200285417099	-7197.330903213855	4.8	-7190.200285417099	-7.13061779675665
49	-7190.198305325909	-7197.145434564561	4.5	-7190.198305325909	-6.947129238651258
50	-7190.1976076199635	-7197.100009160774	4.5	-7190.1976076199635	-6.902401540810298
51	-7190.191613738877	-7197.491655206757	4.6	-7190.191613738877	-7.300041467879949
52	-7190.186297035174	-7197.169385722833	4.6	-7190.186297035174	-6.98308868765889
