#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="BirthDeath.t:alignment" spec="beast.evolution.speciation.BirthDeathGernhard08Model">
#            <parameter id="BDDeathRate.t:alignment" lower="0.0" name="relativeDeathRate" spec="beast.core.parameter.RealParameter" upper="1.0">0.5</parameter>
#            <parameter id="BDBirthRate.t:alignment" lower="0.0" name="birthDiffRate" spec="beast.core.parameter.RealParameter" upper="10000.0">1.0</parameter>
#            <tree id="Tree.t:alignment" spec="beast.evolution.tree.Tree">
#                <taxonset id="TaxonSet.alignment" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="BirthRatePrior.t:alignment" name="distribution" x="@BDBirthRate.t:alignment">
#            <Uniform id="Uniform.100" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="DeathRatePrior.t:alignment" name="distribution" x="@BDDeathRate.t:alignment">
#            <Uniform id="Uniform.101" name="distr" upper="Infinity"/>
#        </prior>
#        <prior id="KappaPrior.s:alignment" name="distribution">
#            <parameter id="kappa.s:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">2.0</parameter>
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.1" lower="0.0" name="S" spec="beast.core.parameter.RealParameter" upper="Infinity">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ucldStdevPrior.c:alignment" name="distribution">
#            <parameter id="ucldStdev.c:alignment" lower="0.0" name="x" spec="beast.core.parameter.RealParameter">0.1</parameter>
#            <Gamma id="Gamma.1" name="distr">
#                <parameter estimate="false" id="RealParameter.2" name="alpha" spec="beast.core.parameter.RealParameter">0.5396</parameter>
#                <parameter estimate="false" id="RealParameter.3" name="beta" spec="beast.core.parameter.RealParameter">0.3819</parameter>
#            </Gamma>
#        </prior>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution" useThreads="true">
#        <distribution data="@alignment" id="treeLikelihood.alignment" spec="beast.evolution.likelihood.ThreadedTreeLikelihood" tree="@Tree.t:alignment">
#            <siteModel id="SiteModel.s:alignment" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter estimate="false" id="mutationRate.s:alignment" name="mutationRate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:alignment" name="shape" spec="beast.core.parameter.RealParameter">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:alignment" lower="0.0" name="proportionInvariant" spec="beast.core.parameter.RealParameter" upper="1.0">0.0</parameter>
#                <substModel id="hky.s:alignment" kappa="@kappa.s:alignment" spec="beast.evolution.substitutionmodel.HKY">
#                    <frequencies id="estimatedFreqs.s:alignment" spec="beast.evolution.substitutionmodel.Frequencies">
#                        <parameter dimension="4" id="freqParameter.s:alignment" lower="0.0" name="frequencies" spec="beast.core.parameter.RealParameter" upper="1.0">0.25</parameter>
#                    </frequencies>
#                </substModel>
#            </siteModel>
#            <branchRateModel id="RelaxedClock.c:alignment" spec="beast.evolution.branchratemodel.UCRelaxedClockModel" tree="@Tree.t:alignment">
#                <LogNormal S="@ucldStdev.c:alignment" id="LogNormalDistributionModel.c:alignment" meanInRealSpace="true" name="distr">
#                    <parameter estimate="false" id="RealParameter.4" lower="0.0" name="M" spec="beast.core.parameter.RealParameter" upper="1.0">1.0</parameter>
#                </LogNormal>
#                <rateCategories dimension="10" id="rateCategories.c:alignment" spec="beast.core.parameter.IntegerParameter">1</rateCategories>
#                <parameter estimate="false" id="ucldMean.c:alignment" name="clock.rate" spec="beast.core.parameter.RealParameter">1.0</parameter>
#            </branchRateModel>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	kappa	freqParameter.1	freqParameter.2	freqParameter.3	freqParameter.4	ucldStdev	rate.mean	rate.variance	rate.coefficientOfVariation	BirthDeath	BDBirthRate	BDDeathRate
0	-8882.898656246363	-8881.493780376444	-1.4048758699187258	-8881.493780376444	0.4423001473067933	2.0	0.25	0.25	0.25	0.25	0.1	1.0233491326632758	0.010511888144299823	0.10203232423737496	-0.3588799810652406	1.0	0.5
1000	-6564.7739366169935	-6559.261069272144	-5.512867344849572	-6559.261069272144	1.2767292500706717	2.0	0.25	0.25	0.25	0.25	0.2618681197451487	1.0639415606616764	0.11047919654690011	0.2991271349605687	-3.5998083165407007	1.5602835617450892	0.17567812052969867
2000	-6561.473742048837	-6556.474658336579	-4.999083712258503	-6556.474658336579	1.0033670603130327	2.0	0.25	0.25	0.25	0.25	0.3541296234862534	1.217030940249386	0.14314290989538475	0.34428251915067565	-2.705480333210323	1.3557786489226764	0.42306615855127333
3000	-6561.951486023834	-6556.252736912502	-5.698749111332424	-6556.252736912502	0.9055892563476085	2.0	0.25	0.25	0.25	0.25	0.3917255064533781	1.2644929780349632	0.1996103675151476	0.38094298043522734	-3.26024782319577	0.9521085101881346	0.7371544638000445
4000	-6563.150357757151	-6557.825507613919	-5.324850143232128	-6557.825507613919	1.1439072384669746	2.0	0.25	0.25	0.25	0.25	0.15330116509578473	1.0807328482754959	0.03436313475287993	0.18985582233944312	-3.9425872466891816	1.2155120150437144	0.6175593373550392
5000	-6563.218587879521	-6559.391519879683	-3.82706799983792	-6559.391519879683	1.0281812452302281	2.0	0.25	0.25	0.25552402096699495	0.24447597903300505	0.0675003370623768	1.0187266410064073	0.0018699909331074177	0.04247732384234796	-3.047126548678284	1.0814037716133542	0.335029762019308
6000	-6564.41673263373	-6558.73881321477	-5.677919418960619	-6558.73881321477	1.0620653998554235	2.0	0.25	0.24761717009673453	0.25552402096699495	0.24685880893627052	0.26011914541784775	0.9833273188219903	0.03137783454774621	0.1799046892987152	-3.7725253070655227	0.8347505294979409	0.6522087785604033
7000	-6568.012534310316	-6560.195732332322	-7.816801977994145	-6560.195732332322	1.0643153245407597	2.0	0.25	0.24887855782502916	0.25426263323870035	0.24685880893627052	0.2631209250410345	0.9960148817412576	0.06919305397023288	0.29458718348664736	-5.898265144714886	2.1841136769332476	0.4750788505086184
8000	-6569.782177421396	-6562.679719038196	-7.102458383200437	-6562.679719038196	1.4564072069771088	2.0	0.25	0.24887855782502916	0.25426263323870035	0.24685880893627052	0.31350079626034344	0.835576110679283	0.04450313624085141	0.23108119137767566	-4.971345897321722	1.094956624537725	0.48096286031504526
9000	-6528.646167693247	-6524.776609688249	-3.8695580049977822	-6524.776609688249	1.0344899084175267	1.1342443580949433	0.25	0.24887855782502916	0.25426263323870035	0.24685880893627052	0.08013211438892631	0.9857102049195285	0.005616645978233251	0.0760551133032817	-3.330413824175621	0.7862130927696981	0.6059016191878867
10000	-6527.550559318153	-6524.284833085231	-3.2657262329222836	-6524.284833085231	1.021632861353072	1.1342443580949433	0.24856631290157225	0.25031224492345694	0.25426263323870035	0.24685880893627052	0.02518879483726398	1.0049114384788826	8.34366347565832E-4	0.028759528693735593	-3.4032609342162905	1.1470857215734762	0.5586792757088677
11000	-6526.093221356564	-6523.173934767257	-2.9192865893064512	-6523.173934767257	0.9428842835925493	1.1342443580949433	0.2557515388806385	0.24312701894439068	0.25426263323870035	0.24685880893627052	0.024678037790263504	1.0104494724249473	4.187277459525354E-4	0.020236185082399764	-3.0675902512563455	0.792015901031861	0.6549282893879242
12000	-6528.0529674838435	-6523.195426454631	-4.857541029212733	-6523.195426454631	1.0639630452320403	1.1342443580949433	0.2557515388806385	0.24312701894439068	0.25426263323870035	0.24685880893627052	0.025209055750312778	1.0004852995876208	8.113339793051662E-4	0.028196376686039887	-4.994652498106748	2.7352713607925216	0.28815629387169395
13000	-6526.512950595331	-6523.338639603204	-3.1743109921271904	-6523.338639603204	1.0927821396689386	0.9973827142767914	0.2559871218074397	0.24312701894439068	0.25426263323870035	0.24662322600946932	0.01447995817422181	1.0059426837457262	1.147773593289797E-4	0.010686895307651118	-3.646146507384195	1.918340438134059	0.21121847012282882
