Sample	posterior	ESS(posterior)	likelihood	prior	
0	-6523.771659285848	9.0	-6517.296047869153	-6.475611416694695	
1	-6523.771659285848	9.0	-6517.296047869153	-6.475611416694695	
2	-6523.771659285848	9.0	-6517.296047869153	-6.475611416694695	
3	-6523.771659285848	9.0	-6517.296047869153	-6.475611416694695	
4	-6522.587492591055	9.2	-6516.219339789068	-6.368152801987354	
5	-6522.587492591055	9.2	-6516.219339789068	-6.368152801987354	
6	-6522.587492591055	9.2	-6516.219339789068	-6.368152801987354	
7	-6522.587492591055	9.2	-6516.219339789068	-6.368152801987354	
8	-6522.42569248701	9.4	-6515.999566041313	-6.426126445696102	
9	-6521.8182253381765	9.6	-6515.729313380722	-6.088911957454629	
