Sample	posterior	ESS(posterior)	likelihood	prior
0	-8346.251922172807	N	-8344.938174260918	-1.3137479118879138
1000	-6521.3065189946155	2.0	-6518.090844697671	-3.2156742969444703
2000	-6522.544465038809	3.0	-6519.448696067485	-3.0957689713243655
3000	-6522.790253854055	4.0	-6519.499327804214	-3.290926049840996
4000	-6522.931077065697	5.0	-6519.495896893269	-3.4351801724278586
5000	-6524.17202011693	6.0	-6520.292496837754	-3.8795232791765857
6000	-6523.6057789225	7.0	-6520.475528370651	-3.1302505518490804
7000	-6524.596594260597	8.0	-6521.566905142866	-3.0296891177315377
8000	-6525.11003711752	9.0	-6522.117827032563	-2.992210084957561
9000	-6522.0760407491625	5.3	-6519.036444327357	-3.039596421805986
10000	-6529.838766390667	7.8	-6520.067985406433	-9.770780984233946
11000	-6521.4843256838485	11.0	-6518.250248384785	-3.2340772990636912
12000	-6521.775800830606	12.0	-6518.933355504579	-2.8424453260273927
13000	-6524.398499540193	13.0	-6521.505685347255	-2.892814192938277
14000	-6526.352821268063	14.0	-6522.762847429778	-3.589973838284674
15000	-6522.844742475463	15.0	-6518.839139887303	-4.005602588160468
16000	-6525.05387153456	16.0	-6521.807701269459	-3.2461702651010444
17000	-6522.651268950377	17.0	-6518.257550711766	-4.393718238610893
18000	-6525.375235832281	18.0	-6521.990183041717	-3.3850527905642602
19000	-6524.339470633533	18.0	-6520.381890838416	-3.9575797951162146
20000	-6526.023877864329	19.0	-6522.033297469339	-3.9905803949897893
21000	-6524.133532140806	20.0	-6520.789608399775	-3.343923741030772
22000	-6524.306824389799	21.0	-6521.338894265898	-2.967930123901091
23000	-6522.577595098733	22.0	-6519.066171778251	-3.511423320481647
24000	-6521.797633132068	23.0	-6518.847838563571	-2.9497945684966522
25000	-6522.447739394549	24.0	-6519.180104966854	-3.267634427695443
26000	-6521.192695263614	25.0	-6518.296143756281	-2.8965515073336117
27000	-6525.600521904202	26.0	-6522.437032822587	-3.1634890816151606
28000	-6522.368541153511	27.0	-6519.372844389354	-2.995696764156568
29000	-6523.848245501087	27.0	-6521.032276825645	-2.8159686754421234
30000	-6522.249134583971	28.0	-6518.774651682905	-3.4744829010661658
31000	-6522.1680588539975	29.0	-6519.461407794101	-2.706651059896009
32000	-6522.879169518248	30.0	-6519.554356470611	-3.3248130476369666
33000	-6521.146884001664	31.0	-6517.899675753258	-3.247208248406322
34000	-6526.29794258911	32.0	-6520.621726884406	-5.676215704704293
35000	-6522.0964065049475	33.0	-6519.429085383018	-2.6673211219294215
36000	-6522.213328918966	34.0	-6519.166125509334	-3.0472034096316722
37000	-6522.357047494491	35.0	-6518.746229368427	-3.6108181260641654
38000	-6522.016519745184	36.0	-6518.862695615281	-3.153824129902793
39000	-6523.371991072565	36.0	-6519.6351572904	-3.7368337821657365
40000	-6523.3213400536715	37.0	-6520.7007870634725	-2.6205529901994
41000	-6524.063739961346	38.0	-6520.719572943842	-3.3441670175044407
42000	-6521.757048327898	39.0	-6518.53397375718	-3.2230745707175816
43000	-6525.312977546272	40.0	-6521.777704980714	-3.535272565558447
44000	-6523.766373739701	41.0	-6520.075726558836	-3.690647180864256
45000	-6525.111941098764	42.0	-6521.490594226082	-3.621346872681893
46000	-6524.107737876567	43.0	-6519.550888046295	-4.556849830271956
47000	-6523.631667266708	44.0	-6520.6821917268	-2.9494755399082537
48000	-6523.480487427794	45.0	-6520.104645108725	-3.3758423190695863
49000	-6521.38546813664	45.0	-6518.30687171311	-3.0785964235296994
50000	-6526.390782335778	46.0	-6521.905298864565	-4.485483471212558
51000	-6522.854916980192	47.0	-6519.877314269431	-2.977602710760962
52000	-6521.426654267461	48.0	-6518.287284688014	-3.139369579447405
53000	-6524.527967191258	49.0	-6519.491996060742	-5.035971130515264
54000	-6522.520638515232	50.0	-6518.146445656402	-4.374192858830549
55000	-6523.162722658499	51.0	-6520.005764232702	-3.1569584257966796
56000	-6521.434336819271	52.0	-6518.622186243599	-2.812150575672663
57000	-6521.596079507264	53.0	-6518.733739392962	-2.8623401143021905
58000	-6523.269476407944	54.0	-6520.053171638079	-3.2163047698654257
59000	-6523.890983075296	54.0	-6520.435350287134	-3.4556327881628013
60000	-6521.389511103758	55.0	-6518.277774432049	-3.1117366717093784
61000	-6522.262770284571	56.0	-6519.507831618165	-2.7549386664058226
62000	-6523.596352869357	57.0	-6520.5785560233235	-3.0177968460334403
63000	-6527.202807080391	58.0	-6523.799831935948	-3.4029751444433076
64000	-6524.872985476272	59.0	-6521.099755820871	-3.7732296554015905
65000	-6522.192032462533	60.0	-6518.9480640339725	-3.243968428559721
66000	-6521.600515118363	61.0	-6518.745137397166	-2.8553777211966187
67000	-6528.761588287163	62.0	-6525.421033466286	-3.340554820877819
68000	-6523.941448384595	63.0	-6519.275320479463	-4.6661279051322175
69000	-6522.858825434262	63.0	-6520.050218109822	-2.808607324440743
70000	-6522.555357204675	64.0	-6519.613008115178	-2.942349089497079
71000	-6522.965251799495	65.0	-6519.815605492104	-3.1496463073908836
72000	-6523.444341981557	66.0	-6519.3887598373085	-4.055582144248258
73000	-6522.602251977789	67.0	-6519.556971625241	-3.0452803525474437
74000	-6524.5950064711415	68.0	-6519.878165823847	-4.716840647294468
75000	-6523.086832488603	69.0	-6519.725598852837	-3.361233635766541
76000	-6523.717114264943	70.0	-6520.15811256972	-3.5590016952232584
77000	-6522.695439718161	71.0	-6519.403492262281	-3.2919474558794173
78000	-6522.555444934202	72.0	-6518.690933631695	-3.8645113025066533
79000	-6522.530075461808	72.0	-6519.895145343968	-2.634930117840738
80000	-6524.170132567039	73.0	-6519.496588582028	-4.67354398501115
81000	-6521.712427372224	74.0	-6518.4922295678725	-3.2201978043511463
82000	-6527.243693624108	75.0	-6524.0512560908	-3.1924375333084845
